npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/17/2025 11:13:32 AM ::1 GET /freeze-dried-food-nutrisi-optimal-praktis-aman-mas.jpg
 HTTP  12/17/2025 11:13:32 AM ::1 Returned 304 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/css/860f246758a58369.css
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/fotoawalhero.34dbc3ec.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/slider1.49eecce8.webp
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/webpack-51d76c0bd3d79be3.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/4bd1b696-cf72ae8a39fa05aa.js
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/964-1d8e3d2561872b55.js
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/main-app-69496ec153f69d22.js
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/874-88e24f0e286df0b2.js
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/app/error-f5616a0386b4c753.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/63-e2758006d17bcdf6.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 3 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/app/not-found-4d0aad09ae14ec59.js
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/app/layout-84682f4fb8ab7373.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 9 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/app/page-dfd238631d167f6b.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 3 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /favicon.webp
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 0 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/slider2.01c50927.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/slider3.9a26a569.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/durian.c2a0c853.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/tokped.b106a58d.svg
